id,category_id,name,calorie,protein,fat,carbohydrate,detail,short_name
1,1,アマランサス　玄穀,343,12.7,6,64.9,,アマランサス
2,1,あわ　精白粒,346,11.2,4.4,69.7,"うるち、もちを含む 歩留り： 70～80 %",あわ
3,1,あわ　あわもち,210,5.1,1.3,45.3,原材料配合割合： もちあわ50、もち米50,あわ
4,1,えんばく　オートミール,350,13.7,5.7,69.1,別名： オート、オーツ,えんばく
5,1,おおむぎ　七分つき押麦,343,10.9,2.1,72.1,歩留り： 玄皮麦60～65 %、玄裸麦65～70 %,おおむぎ
6,1,おおむぎ　押麦　乾,329,6.7,1.5,78.3,歩留り： 玄皮麦45～55 %、玄裸麦55～65 %食物繊維：AOAC2011.25法,おおむぎ
7,1,おおむぎ　押麦　めし,118,2.2,0.5,28.5,乾35 g相当量を含む食物繊維：AOAC2011.25法,おおむぎ
8,1,おおむぎ　米粒麦,333,7,2.1,76.2,別名： 切断麦白麦を含む歩留り： 玄皮麦40～50 %、玄裸麦50～60 %,おおむぎ
9,1,おおむぎ　大麦めん　乾,343,12.9,1.7,68,原材料配合割合： 大麦粉 50、小麦粉 50,おおむぎ
10,1,おおむぎ　大麦めん　ゆで,121,4.8,0.6,24.3,原材料配合割合： 大麦粉 50、小麦粉 50,おおむぎ
11,1,おおむぎ　麦こがし,368,12.5,5,77.1,別名： こうせん、はったい粉,おおむぎ
12,1,キヌア　玄穀,344,13.4,3.2,69,,キヌア
13,1,きび　精白粒,353,11.3,3.3,70.9,うるち、もちを含む歩留り： 70～80 %,きび
14,1,こむぎ　［玄穀］　国産　普通,329,10.8,3.1,72.1,食物繊維：AOAC2011.25法,こむぎ
15,1,こむぎ　［玄穀］　輸入　軟質,344,10.1,3.3,75.2,,こむぎ
16,1,こむぎ　［玄穀］　輸入　硬質,332,13,3,69.4,,こむぎ
17,1,こむぎ　［小麦粉］　薄力粉　1等,349,8.3,1.5,75.8,(100 g： 182 mL、100 mL：55 g),こむぎ
18,1,こむぎ　［小麦粉］　薄力粉　2等,345,9.3,1.9,74.3,(100 g： 182 mL、100 mL：55 g),こむぎ
19,1,こむぎ　［小麦粉］　中力粉　1等,337,9,1.6,75.1,(100 g： 182 mL、100 mL：55 g),こむぎ
20,1,こむぎ　［小麦粉］　中力粉　2等,346,9.7,1.8,74,(100 g： 182 mL、100 mL：55 g),こむぎ
21,1,こむぎ　［小麦粉］　強力粉　1等,337,11.8,1.5,71.7,(100 g： 182 mL、100 mL：55 g),こむぎ
22,1,こむぎ　［小麦粉］　強力粉　2等,343,12.6,1.7,70.6,(100 g： 182 mL、100 mL：55 g),こむぎ
23,1,こむぎ　［小麦粉］　強力粉　全粒粉,320,12.8,2.9,68.2,(100 g： 182 mL、100 mL：55 g),こむぎ
24,1,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,335,10.1,1.9,73.6,加熱によりベーキングパウダーから発生する二酸化炭素等： 0.6 g (100 g： 182 mL、100 mL：55 g),こむぎ
25,1,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,360,7.8,4,74.4,加熱によりベーキングパウダーから発生する二酸化炭素等： 0.6 g(100 g： 182 mL、100 mL：55 g),こむぎ
26,1,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,311,10.2,1.2,70,加熱によりベーキングパウダーから発生する二酸化炭素等： 0.1 g　β-カロテン： 着色料として添加 (100 g： 182 mL、100 mL：55 g),こむぎ
27,1,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,337,8.8,1.3,76.1,β-カロテン及びビタミンB2無添加のもの加熱によりベーキングパウダーから発生する二酸化炭素等： 0.2 g (100 g： 182 mL、100 mL：55 g),こむぎ
